Precio,Ubicacion,Área (m^2),Distrito,Dormitorios,Baños,Latitud,Longitud,Link,n° colegios (radio 1500m),n° parques/areas verdes (radio 800m),n° hospitales (radio 2000m),n° restaurantes (radio 800m),n° supermercados (radio 1000m),n° gasolineras (radio 1000m)
253000.0,"Santa Cruz De Flores, Cañete, Lima, Per",679.0,Santa Cruz de Flores,4,4,-12.61822,-76.64104,https://www.laencontre.com.pe/inmueble/7ff8-90c4-91e3d9ee-655069e687b4-4a5d,1,1,0,0,0,0
615000.0,"José María Quiroga 339, Santiago De Surco, Perú",316.0,Santiago de Surco,4,3,-12.11729,-76.99406,https://www.laencontre.com.pe/inmueble/f29e-9963-3d7a387b-35f956efdc21-4e5b,28,43,1,73,3,31
253900.0,"Santa Cruz De Flores, Cañete, Lima, Per",679.0,Santa Cruz de Flores,4,4,-12.61822,-76.64104,https://www.laencontre.com.pe/inmueble/7197-9f57-d4a108d6-f52796776029-1274,1,1,0,0,0,0
399500.0,"La Floristería, Jirón Simón Salguero, Ur. Residencial El Rosal, Santiago De Surco, Lima, 15048, Per",202.0,Santiago de Surco,4,3,-12.13056,-77.00961,https://www.laencontre.com.pe/inmueble/5d63-a8a8-4333d9c3-c4229b30c49e-4c64,21,42,2,91,4,61
799000.0,"Valle Hermoso, Santiago De Surco, Perú",595.0,Santiago de Surco,4,4,-12.12082,-76.97632,https://www.laencontre.com.pe/inmueble/73c5-9522-9ff0fa24-fe1fed978c8f-4d81,12,24,0,3,4,5
97000.0,"Santa María, Huaura, Lima, Per",136.0,Santa María,3,2,-11.11409,-77.58853,https://www.laencontre.com.pe/inmueble/cf1e-babf-35068b9b-fe49bfbbc0cc-4d39,6,5,1,4,0,32
940000.0,"Cerros De Camacho, Santiago De Surco, Lima, Lima, Peru",563.0,Santiago de Surco,5,6,-12.08231,-76.96044,https://www.laencontre.com.pe/inmueble/365309,8,2,0,15,1,31
800000.0,"Avenida San Borja Norte 1234, Lima, Perú",480.0,Lima,4,3,-12.09481,-76.99228,https://www.laencontre.com.pe/inmueble/20d3-b660-863fab39-d6be77649aab-40cc,21,42,2,31,1,23
1353450.0,"Jirón Paseo De Los Eucaliptos 460, La Molina, Perú",1289.0,La Molina,5,3,-12.07257,-76.96937,https://www.laencontre.com.pe/inmueble/3865-a2fe-63221d55-d14db949a726-425e,20,23,0,14,1,36
405000.0,"San Borja, Lima",178.0,San Borja,4,2,-12.09606,-76.9962,https://www.laencontre.com.pe/inmueble/2378-ac4c-ff7b5063-3e9201c3b266-4e2c,23,38,2,107,3,31
570000.0,"Calle Bahía 200-298, Cuadra 2, Co. La Molina Real, La Molina, Lima, 15026, Per",300.0,La Molina,4,5,-12.08876,-76.90355,https://www.laencontre.com.pe/inmueble/6ba0-9fbe-dbde60f2-f8f8a5f7814c-4215,7,3,0,1,2,19
399000.0,"Lomas De La Molina Vieja, Lima, Perú",280.0,Lima,4,6,-12.1003,-76.93845,https://www.laencontre.com.pe/inmueble/c46e-9893-803d1a-a373df47d2ca-41ee,0,22,0,8,0,0
1047000.0,"Rinconada Baja, Lima",1108.0,Lima,3,4,-12.07899,-76.93104,https://www.laencontre.com.pe/inmueble/dd4f-8799-215ab1a3-64abc00599e8-452f,7,4,0,1,2,27
389000.0,"Calle Pastor Sevilla, Chorrillos, Perú",281.0,Chorrillos,5,6,-12.1576,-77.02371,https://www.laencontre.com.pe/inmueble/9153-bcf7-c8ef3806-1f4d4c8038b5-1274,21,20,3,30,0,9
850000.0,"Calle General Silva 685, Cuadra 6, Ur. San Antonio, Miraflores, Lima, 15047, Per",481.0,Miraflores,6,3,-12.12402,-77.01984,https://www.laencontre.com.pe/inmueble/8ef4-9316-a8f7f06b-b9a19565fb34-4d92,28,18,3,124,8,107
1400000.0,"La Molina, Lima",1064.0,La Molina,3,5,-12.08997,-76.92359,https://www.laencontre.com.pe/inmueble/9ae0-a008-e32735c-c41565005cf7-4d7e,8,9,0,0,2,1
680000.0,"Jirón Coronel Enrique Campos, Surco, Perú",300.0,Santiago de Surco,3,4,-12.1266,-76.98504,https://www.laencontre.com.pe/inmueble/d523-833d-55816438-fb4d98035912-4405,26,25,1,152,4,28
1270000.0,"Orrantia, Lima",345.0,Lima,3,2,-12.09437,-77.041,https://www.laencontre.com.pe/inmueble/417a-8e4c-3f4f88c3-3148527e0b1e-5062,29,12,4,112,5,23
410000.0,"Calle Campo Verde 101-199, Cuadra 1, Ur. Campo Verde, La Molina, Lima, 15026, Per",202.0,La Molina,3,4,-12.07467,-76.93736,https://www.laencontre.com.pe/inmueble/a2f4-b913-4bc8ec18-3a6161736295-4531,11,14,2,41,0,26
720000.0,"Calle Las Dalias 338-368, Cuadra 3, Ur. Valle Hermoso Residencial Etapa Ii, Santiago De Surco, Lima, 15023, Per",600.0,Santiago de Surco,3,4,-12.128,-76.96951,https://www.laencontre.com.pe/inmueble/dab5-a640-f7e41770-be839f492128-5020,38,19,0,3,3,21
1050000.0,"Orrantia, Lima",378.0,Lima,5,3,-12.09437,-77.041,https://www.laencontre.com.pe/inmueble/b17f-b417-7fa294e5-e09b953d7bde-4540,29,12,4,112,5,23
595000.0,"El Sol De La Molina, Lima",1180.0,Lima,3,3,-12.08324,-76.90334,https://www.laencontre.com.pe/inmueble/182a-a424-efca326b-6155a3da914f-4be8,7,4,0,8,3,19
475000.0,"Av. Rinconada Del Lago 915, La Molina, Perú",398.0,La Molina,3,2,-12.09512,-76.92654,https://www.laencontre.com.pe/inmueble/faa2-bdf1-88e6750f-69028b37b6ad-427d,3,5,0,0,0,0
